ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate
706,"HL Road Frame - Red, 58",FR-R92R-58,Red,1059.3100,1431.5000,58,1016.04,18,6,2002-06-01 00:00:00,,
707,"Sport-100 Helmet, Red",HL-U509-R,Red,13.0863,34.9900,,,35,33,2005-07-01 00:00:00,,
717,"HL Road Frame - Red, 62",FR-R92R-62,Red,868.6342,1431.5000,62,1043.26,18,6,2005-07-01 00:00:00,,
718,"HL Road Frame - Red, 44",FR-R92R-44,Red,868.6342,1431.5000,44,961.61,18,6,2005-07-01 00:00:00,,
719,"HL Road Frame - Red, 48",FR-R92R-48,Red,868.6342,1431.5000,48,979.75,18,6,2005-07-01 00:00:00,,
720,"HL Road Frame - Red, 52",FR-R92R-52,Red,868.6342,1431.5000,52,997.90,18,6,2005-07-01 00:00:00,,
721,"HL Road Frame - Red, 56",FR-R92R-56,Red,868.6342,1431.5000,56,1016.04,18,6,2005-07-01 00:00:00,,
725,"LL Road Frame - Red, 44",FR-R38R-44,Red,187.1571,337.2200,44,1052.33,18,9,2005-07-01 00:00:00,2007-06-30 00:00:00,
726,"LL Road Frame - Red, 48",FR-R38R-48,Red,187.1571,337.2200,48,1070.47,18,9,2005-07-01 00:00:00,2007-06-30 00:00:00,
727,"LL Road Frame - Red, 52",FR-R38R-52,Red,187.1571,337.2200,52,1088.62,18,9,2005-07-01 00:00:00,2007-06-30 00:00:00,
728,"LL Road Frame - Red, 58",FR-R38R-58,Red,187.1571,337.2200,58,1115.83,18,9,2005-07-01 00:00:00,2007-06-30 00:00:00,
729,"LL Road Frame - Red, 60",FR-R38R-60,Red,187.1571,337.2200,60,1124.90,18,9,2005-07-01 00:00:00,2007-06-30 00:00:00,
730,"LL Road Frame - Red, 62",FR-R38R-62,Red,187.1571,337.2200,62,1133.98,18,9,2005-07-01 00:00:00,2007-06-30 00:00:00,
