imdb_title_id,title,year,date_published,genre,duration,country
tt0000009,Miss Jerry,1894,9/10/1894,Romance,45,USA
tt0000574,The Story of the Kelly Gang,1906,26/12/1906,"Biography, Crime, Drama",70,Australia
tt0001892,Den sorte drA¸m,1911,19/08/1911,Drama,53,"Germany, Denmark"
tt0002101,Cleopatra,1912,13/11/1912,"Drama, History",100,USA
tt0002130,L'Inferno,1911,6/03/1911,"Adventure, Drama, Fantasy",68,Italy
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,27/03/1905,"Biography, Drama",60,USA
tt0002423,Madame DuBarry,1919,26/11/1919,"Biography, Drama, Romance",85,Germany
tt0002445,Quo Vadis?,1913,1/03/1913,"Drama, History",120,Italy
tt0002452,Independenta Romaniei,1912,1/09/1912,"History, War",120,Romania
tt0002461,Richard III,1912,15/10/1912,Drama,55,"France, USA"
tt0002646,Atlantis,1913,26/12/1913,Drama,121,Denmark
tt0002844,Fanta mas -  l'ombre de la guillotine,1913,12/05/1913,"Crime, Drama",54,France
tt0003014,Il calvario di una madre,1913,18/10/1915,Drama,96,Sweden
tt0003037,Juve contre Fantamas,1913,8/09/1913,"Crime, Drama",61,France
tt0003102,Ma l'amor mio non muore...,1914,1/01/1914,Drama,90,Italy
tt0003131,Maudite soit la guerre,1914,1/05/1914,"Drama, War",50,Belgium
tt0003165,Le mort qui tue,1913,6/11/1913,"Crime, Drama, Mystery",90,France
tt0003167,Amore di madre,1914,17/05/1914,Drama,55,USA
tt0003419,Lo studente di Praga,1913,22/08/1913,"Drama, Fantasy, Horror",85,Germany
tt0003471,Traffic in Souls,1913,24/11/1913,"Crime, Drama",88,USA
TT0003489,GLI ULTIMI GIORNI DI POMPEI,1913,24/08/1913,"ADVENTURE, DRAMA",88,ITALY
TT0003637,ASSUNTA SPINA,1915,1/05/1916,DRAMA,72,ITALY
TT0003643,THE AVENGING CONSCIENCE: OR 'THOU SHALT NOT KILL',1914,24/08/1914,"CRIME, DRAMA, HORROR",78,USA
TT0003657,THE BARGAIN,1914,3/12/1914,WESTERN,70,USA
TT0003740,CABIRIA,1914,18/04/1914,"ADVENTURE, DRAMA, HISTORY",148,ITALY
TT0003772,CINDERELLA,1914,28/12/1914,"FANTASY, DRAMA",52,USA
TT0003883,L'ENFANT DE PARIS,1913,17/09/1913,"CRIME, DRAMA",124,FRANCE
TT0003930,FANTA MAS CONTRE FANTAMAS,1914,10/01/1914,"CRIME, DRAMA",59,FRANCE
TT0003973,A FLORIDA ENCHANTMENT,1914,4/09/1916,COMEDY,63,USA
TT0004026,DER GOLEM,1915,8/04/1915,HORROR,60,GERMANY
TT0004066,DET HEMMELIGHEDSFULDE X,1914,23/03/1914,"DRAMA, MYSTERY",84,DENMARK
TT0004099,"HIS MAJESTY, THE SCARECROW OF OZ",1914,14/10/1914,"FAMILY, FANTASY, ADVENTURE",59,USA
TT0004134,HYPOCRITES,1915,20/01/1915,DRAMA,54,USA
TT0004150,IN THE LAND OF THE HEAD HUNTERS,1914,7/12/1914,"DRAMA, HISTORY",65,"USA, CANADA"
TT0004181,JUDITH OF BETHULIA,1914,8/03/1914,DRAMA,61,USA
TT0004457,THE PATCHWORK GIRL OF OZ,1914,28/09/1914,"ADVENTURE, FAMILY, FANTASY",81,USA
TT0004465,THE PERILS OF PAULINE,1914,23/03/1914,"ACTION, ADVENTURE, DRAMA",199,USA
TT0004635,THE SQUAW MAN,1914,15/02/1914,"ACTION, DRAMA, ROMANCE",74,USA
TT0004681,LA MADONNINA DEL PORTO,1914,30/03/1914,DRAMA,80,USA
TT0004707,TILLIE'S PUNCTURED ROMANCE,1914,21/12/1914,COMEDY,82,USA
tt0004712,A tolonc,1915,20/03/1915,Drama,67,Hungary
tt0004743,Uncle Tom's Cabin,1914,10/08/1914,Drama,54,USA
tt0004766,The Virginian,1914,7/09/1914,Western,55,USA
tt0004825,The Wishing Ring: An Idyll of Old England,1914,9/11/1914,"Comedy, Drama",54,USA
tt0004838,The Wrath of the Gods,1914,8/06/1914,"Drama, Romance",56,USA
tt0004872,Alias Jimmy Valentine,1915,22/02/1915,"Crime, Drama",65,USA
tt0004873,Alice in Wonderland,1915,19/01/1915,"Adventure, Family, Fantasy",52,USA
tt0004972,Nascita di una nazione,1915,21/03/1915,"Drama, History, War",195,USA
tt0005060,Carmen,1915,31/10/1915,Drama,59,USA
tt0005078,The Cheat,1915,13/12/1915,"Drama, Romance",59,USA
tt0005149,The Coward,1915,14/11/1915,"Drama, History, War",77,USA
tt0005339,La vampira,1915,12/01/1915,Drama,67,USA
tt0005402,The Golden Chance,1915,30/12/1915,Drama,74,USA
tt0005529,HA¦vnens Nat,1916,25/09/1916,"Crime, Drama, Horror",100,Denmark
tt0005557,The Italian,1915,1/01/1915,Drama,72,USA
tt0005680,Maciste,1915,29/03/1905,Adventure,67,Italy
tt0005719,Martyrs of the Alamo,1915,21/11/1915,"Drama, History, War",71,USA
tt0005809,The Nigger,1915,29/03/1915,Drama,50,USA
tt0005916,Posle smerti,1915,29/12/1915,Drama,46,Russia
tt0005951,Rapsodia satanica,1917,1/07/1917,"Drama, Fantasy, Horror",55,Italy
