ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate
680,"HL Road Frame - Black, 58",FR-R92B-58,Black,1059.3100,1431.5000,58,1016.04,18,6,2002-06-01 00:00:00,,
708,"Sport-100 Helmet, Black",HL-U509,Black,13.0863,34.9900,,,35,33,2005-07-01 00:00:00,,
722,"LL Road Frame - Black, 58",FR-R38B-58,Black,204.6251,337.2200,58,1115.83,18,9,2005-07-01 00:00:00,,
723,"LL Road Frame - Black, 60",FR-R38B-60,Black,204.6251,337.2200,60,1124.90,18,9,2005-07-01 00:00:00,,
724,"LL Road Frame - Black, 62",FR-R38B-62,Black,204.6251,337.2200,62,1133.98,18,9,2005-07-01 00:00:00,,
736,"LL Road Frame - Black, 44",FR-R38B-44,Black,204.6251,337.2200,44,1052.33,18,9,2005-07-01 00:00:00,,
737,"LL Road Frame - Black, 48",FR-R38B-48,Black,204.6251,337.2200,48,1070.47,18,9,2005-07-01 00:00:00,,
738,"LL Road Frame - Black, 52",FR-R38B-52,Black,204.6251,337.2200,52,1088.62,18,9,2005-07-01 00:00:00,,
743,"HL Mountain Frame - Black, 42",FR-M94B-42,Black,739.0410,1349.6000,42,1233.76,16,5,2005-07-01 00:00:00,,
744,"HL Mountain Frame - Black, 44",FR-M94B-44,Black,699.0928,1349.6000,44,1251.91,16,5,2005-07-01 00:00:00,2006-06-30 00:00:00,
745,"HL Mountain Frame - Black, 48",FR-M94B-48,Black,699.0928,1349.6000,48,1270.05,16,5,2005-07-01 00:00:00,2006-06-30 00:00:00,
746,"HL Mountain Frame - Black, 46",FR-M94B-46,Black,739.0410,1349.6000,46,1288.20,16,5,2005-07-01 00:00:00,,
747,"HL Mountain Frame - Black, 38",FR-M94B-38,Black,739.0410,1349.6000,38,1215.62,16,5,2005-07-01 00:00:00,,
765,"Road-650 Black, 58",BK-R50B-58,Black,486.7066,782.9900,58,8976.55,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
766,"Road-650 Black, 60",BK-R50B-60,Black,486.7066,782.9900,60,9026.44,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
767,"Road-650 Black, 62",BK-R50B-62,Black,486.7066,782.9900,62,9071.80,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
768,"Road-650 Black, 44",BK-R50B-44,Black,486.7066,782.9900,44,8513.88,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
769,"Road-650 Black, 48",BK-R50B-48,Black,486.7066,782.9900,48,8677.18,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
770,"Road-650 Black, 52",BK-R50B-52,Black,486.7066,782.9900,52,8808.72,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
775,"Mountain-100 Black, 38",BK-M82B-38,Black,1898.0944,3374.9900,38,9230.56,5,19,2005-07-01 00:00:00,2006-06-30 00:00:00,
776,"Mountain-100 Black, 42",BK-M82B-42,Black,1898.0944,3374.9900,42,9421.06,5,19,2005-07-01 00:00:00,2006-06-30 00:00:00,
777,"Mountain-100 Black, 44",BK-M82B-44,Black,1898.0944,3374.9900,44,9584.36,5,19,2005-07-01 00:00:00,2006-06-30 00:00:00,
778,"Mountain-100 Black, 48",BK-M82B-48,Black,1898.0944,3374.9900,48,9715.90,5,19,2005-07-01 00:00:00,2006-06-30 00:00:00,
782,"Mountain-200 Black, 38",BK-M68B-38,Black,1251.9813,2294.9900,38,10591.33,5,20,2006-07-01 00:00:00,,
783,"Mountain-200 Black, 42",BK-M68B-42,Black,1251.9813,2294.9900,42,10781.83,5,20,2006-07-01 00:00:00,,
784,"Mountain-200 Black, 46",BK-M68B-46,Black,1251.9813,2294.9900,46,10945.13,5,20,2006-07-01 00:00:00,,
785,"Mountain-300 Black, 38",BK-M47B-38,Black,598.4354,1079.9900,38,11498.51,5,21,2006-07-01 00:00:00,2007-06-30 00:00:00,
786,"Mountain-300 Black, 40",BK-M47B-40,Black,598.4354,1079.9900,40,11689.01,5,21,2006-07-01 00:00:00,2007-06-30 00:00:00,
787,"Mountain-300 Black, 44",BK-M47B-44,Black,598.4354,1079.9900,44,11852.31,5,21,2006-07-01 00:00:00,2007-06-30 00:00:00,
788,"Mountain-300 Black, 48",BK-M47B-48,Black,598.4354,1079.9900,48,11983.85,5,21,2006-07-01 00:00:00,2007-06-30 00:00:00,
793,"Road-250 Black, 44",BK-R89B-44,Black,1554.9479,2443.3500,44,6699.52,6,26,2006-07-01 00:00:00,,
794,"Road-250 Black, 48",BK-R89B-48,Black,1554.9479,2443.3500,48,6862.82,6,26,2006-07-01 00:00:00,,
795,"Road-250 Black, 52",BK-R89B-52,Black,1554.9479,2443.3500,52,6994.36,6,26,2006-07-01 00:00:00,,
796,"Road-250 Black, 58",BK-R89B-58,Black,1554.9479,2443.3500,58,7112.29,6,26,2006-07-01 00:00:00,,
814,"ML Mountain Frame - Black, 38",FR-M63B-38,Black,185.8193,348.7600,38,1238.30,16,15,2006-07-01 00:00:00,2007-06-30 00:00:00,
815,LL Mountain Front Wheel,FW-M423,Black,26.9708,60.7450,,,21,42,2006-07-01 00:00:00,2007-06-30 00:00:00,
816,ML Mountain Front Wheel,FW-M762,Black,92.8071,209.0250,,,21,45,2006-07-01 00:00:00,2007-06-30 00:00:00,
817,HL Mountain Front Wheel,FW-M928,Black,133.2955,300.2150,,,21,46,2006-07-01 00:00:00,2007-06-30 00:00:00,
818,LL Road Front Wheel,FW-R623,Black,37.9909,85.5650,,900.00,21,49,2006-07-01 00:00:00,2007-06-30 00:00:00,
819,ML Road Front Wheel,FW-R762,Black,110.2829,248.3850,,850.00,21,50,2006-07-01 00:00:00,2007-06-30 00:00:00,
