Empresas,Frutas,Cliente,Cantidad (Kg),Año,VENTAS_Canada(KG),VENTAS_China(KG),VENTAS_EE.UU.(KG),VENTAS_España(KG),VENTAS_Francia(KG)
America,Mandarina,Europa Exportadores,1007,2011,3,3,5,3,2
AgroPro,Mandarina,America Exportadores,844,2016,3,3,4,2,2
AgroLatina,Mango,J&T Exportadores,2131,2012,5,4,1,1,2
VirPeru,Uva,Europa Exportadores,1385,2019,5,3,3,1,2
FruPeru,Mandarina,America Exportadores,1624,2017,4,4,3,2,3
VirPeru,Mandarina,J&T Exportadores,1770,2013,3,3,3,1,3
FruPeru,Platano,Mercado Mundial,1654,2014,5,3,4,1,3
AgroLatina,Mandarina,Exportadores Mundiales,2115,2012,4,3,2,3,2
AgroLatina,Mango,J&T Exportadores,1419,2016,1,3,5,2,3
Alfa,ArÃ¡ndanos,J&T Exportadores,992,2019,1,4,5,2,2
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,1409,2015,5,4,2,1,3
FruPeru,Naranja,Mercado Mundial,855,2011,5,3,2,2,2
VirPeru,Palta,J&T Exportadores,927,2015,3,4,4,3,3
PeruExport,Platano,Exportadores Mundiales,1589,2020,3,4,5,3,2
FruPeru,Palta,J&T Exportadores,1796,2019,4,3,2,3,3
America,ArÃ¡ndanos,America Exportadores,1416,2010,1,4,2,2,3
AgroLatina,Naranja,America Exportadores,1261,2011,5,3,3,2,2
FruPeru,Naranja,Europa Exportadores,1442,2012,1,3,1,2,3
Alfa,Palta,America Exportadores,807,2018,1,3,2,2,2
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,1923,2014,4,3,1,2,3
PeruExport,Mango,America Exportadores,1242,2010,2,3,4,1,2
PeruExport,Naranja,Europa Exportadores,2323,2013,5,4,4,2,2
PeruExport,Naranja,America Exportadores,2366,2013,2,3,5,1,3
AgroPro,Mango,America Exportadores,1164,2020,3,4,1,3,3
America,Naranja,America Exportadores,1824,2010,2,3,4,1,3
PeruExport,Uva,Europa Exportadores,1417,2017,3,3,4,2,3
PeruExport,ArÃ¡ndanos,Mercado Mundial,1912,2020,4,3,1,3,2
AgroPro,Uva,Mercado Mundial,1943,2015,3,3,2,3,2
AgroPro,Naranja,America Exportadores,941,2010,4,4,3,3,3
Alfa,Palta,Exportadores Mundiales,1226,2014,4,4,3,3,3
AgroLatina,Uva,Mercado Mundial,1824,2016,5,4,4,3,2
VirPeru,Platano,Mercado Mundial,1057,2015,1,4,1,3,2
AgroPro,Mandarina,Europa Exportadores,1101,2012,4,3,2,2,3
AgroPro,Uva,J&T Exportadores,1532,2017,3,3,2,3,2
FruPeru,Mango,Europa Exportadores,2112,2018,4,3,5,2,3
PeruExport,Mandarina,Europa Exportadores,816,2016,3,3,5,3,3
Alfa,Mango,America Exportadores,1082,2011,5,4,2,3,3
AgroLatina,Uva,Exportadores Mundiales,1905,2018,5,3,4,1,3
AgroLatina,Naranja,America Exportadores,2167,2019,3,4,1,3,2
VirPeru,Platano,America Exportadores,1721,2013,5,4,1,3,2
AgroPro,Uva,Exportadores Mundiales,1203,2010,5,3,1,1,2
AgroLatina,Naranja,Mercado Mundial,985,2015,1,4,4,1,2
Alfa,ArÃ¡ndanos,America Exportadores,1509,2011,2,4,4,3,2
America,Palta,Mercado Mundial,1249,2011,5,4,1,1,2
Alfa,Naranja,Europa Exportadores,904,2017,4,4,5,3,2
PeruExport,Platano,America Exportadores,1175,2018,2,4,4,1,2
VirPeru,ArÃ¡ndanos,Exportadores Mundiales,1365,2016,1,4,1,2,3
Alfa,Platano,Europa Exportadores,2328,2015,4,4,3,2,3
AgroPro,ArÃ¡ndanos,Europa Exportadores,1082,2019,2,4,4,3,3
FruPeru,Platano,J&T Exportadores,1904,2017,1,4,4,3,3
Alfa,Mango,Europa Exportadores,1294,2011,3,4,4,3,2
AgroPro,Palta,Exportadores Mundiales,1251,2017,5,4,5,1,2
PeruExport,Platano,Mercado Mundial,1120,2016,5,4,2,3,2
AgroPro,Palta,America Exportadores,1945,2011,2,3,4,2,3
VirPeru,Uva,Exportadores Mundiales,2174,2013,3,4,3,2,3
AgroPro,Mango,J&T Exportadores,1387,2018,2,3,1,2,3
America,Mandarina,Mercado Mundial,843,2015,2,4,2,1,2
AgroLatina,Platano,Europa Exportadores,1981,2017,1,4,4,3,2
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,2297,2016,4,3,5,3,3
AgroLatina,Palta,Europa Exportadores,2231,2010,1,3,2,1,2
FruPeru,Palta,America Exportadores,1758,2012,2,3,1,1,2
Alfa,ArÃ¡ndanos,Exportadores Mundiales,2100,2015,4,4,3,2,2
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,1711,2015,4,4,2,2,2
America,ArÃ¡ndanos,Exportadores Mundiales,1190,2015,4,4,4,3,2
AgroPro,ArÃ¡ndanos,Europa Exportadores,823,2013,2,3,5,2,2
AgroLatina,Palta,J&T Exportadores,1306,2019,5,3,4,3,2
PeruExport,Naranja,America Exportadores,1214,2014,1,3,2,2,2
AgroLatina,Mango,J&T Exportadores,2054,2012,4,4,1,2,2
AgroPro,ArÃ¡ndanos,America Exportadores,1247,2019,2,3,4,2,3
FruPeru,Mango,Europa Exportadores,1241,2018,4,3,4,3,2
VirPeru,Naranja,Exportadores Mundiales,2102,2011,5,3,2,3,2
FruPeru,Mandarina,America Exportadores,1105,2013,3,3,2,1,3
America,ArÃ¡ndanos,Exportadores Mundiales,2070,2019,5,4,3,1,3
VirPeru,ArÃ¡ndanos,Mercado Mundial,1523,2019,4,3,4,3,3
America,Platano,Exportadores Mundiales,2099,2020,3,4,5,3,3
Alfa,Mango,J&T Exportadores,2095,2013,5,3,4,3,3
America,Uva,Europa Exportadores,1522,2013,5,4,2,1,2
PeruExport,Palta,Mercado Mundial,2134,2017,1,3,5,2,3
AgroPro,Mango,Mercado Mundial,1846,2010,5,4,1,3,2
AgroLatina,Uva,J&T Exportadores,1893,2017,3,4,3,1,3
AgroLatina,Platano,J&T Exportadores,1576,2011,3,3,1,3,3
PeruExport,Mandarina,J&T Exportadores,1788,2015,2,4,1,2,2
PeruExport,Uva,J&T Exportadores,1050,2012,3,4,4,2,2
AgroLatina,Uva,J&T Exportadores,933,2011,1,4,3,2,3
AgroPro,Naranja,Mercado Mundial,1734,2013,3,3,5,3,2
VirPeru,Palta,Exportadores Mundiales,886,2017,5,4,2,2,3
VirPeru,Uva,J&T Exportadores,1176,2011,1,4,5,2,2
AgroPro,Mango,Europa Exportadores,1087,2015,3,4,2,2,3
Alfa,Mango,Exportadores Mundiales,948,2011,5,3,2,3,3
AgroLatina,Naranja,America Exportadores,1633,2019,2,4,3,3,3
PeruExport,ArÃ¡ndanos,Europa Exportadores,814,2010,4,4,2,3,2
AgroPro,Uva,Mercado Mundial,1348,2019,2,4,5,1,3
AgroPro,Uva,America Exportadores,2147,2020,1,3,3,2,3
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,1398,2014,4,3,2,1,3
AgroLatina,Mandarina,America Exportadores,2204,2010,5,4,4,1,2
PeruExport,Naranja,Exportadores Mundiales,1194,2019,5,4,3,3,2
AgroPro,Mandarina,Europa Exportadores,2021,2014,5,4,5,1,3
America,Naranja,Exportadores Mundiales,2150,2017,4,3,3,2,2
VirPeru,ArÃ¡ndanos,J&T Exportadores,1647,2016,5,4,1,2,3
PeruExport,ArÃ¡ndanos,America Exportadores,2233,2011,2,4,3,2,2
VirPeru,Mandarina,Exportadores Mundiales,2121,2013,3,3,2,3,2
AgroPro,Palta,America Exportadores,1781,2020,2,4,4,3,2
PeruExport,Platano,Europa Exportadores,919,2013,4,3,5,3,3
America,Naranja,Europa Exportadores,2265,2010,1,3,4,3,2
AgroLatina,Mandarina,Mercado Mundial,1997,2017,2,4,1,1,3
VirPeru,ArÃ¡ndanos,J&T Exportadores,1009,2016,4,3,2,2,2
PeruExport,Naranja,J&T Exportadores,1188,2010,2,4,3,3,3
AgroPro,Uva,America Exportadores,2400,2010,5,4,1,1,3
VirPeru,Naranja,J&T Exportadores,1227,2013,3,3,3,2,3
VirPeru,Naranja,America Exportadores,915,2015,2,4,4,1,3
AgroLatina,Uva,Exportadores Mundiales,1213,2014,2,3,1,1,2
PeruExport,Naranja,Europa Exportadores,931,2015,2,4,3,1,3
FruPeru,Mandarina,J&T Exportadores,1727,2019,1,4,2,2,2
FruPeru,Uva,America Exportadores,1462,2016,5,4,1,1,3
PeruExport,ArÃ¡ndanos,Mercado Mundial,2140,2012,1,3,3,1,2
VirPeru,Mandarina,Europa Exportadores,1482,2012,2,3,1,3,3
VirPeru,Uva,America Exportadores,1164,2013,3,4,1,1,2
Alfa,Mango,Mercado Mundial,2142,2019,1,3,2,2,3
America,Platano,J&T Exportadores,2041,2015,4,4,4,3,2
FruPeru,ArÃ¡ndanos,Exportadores Mundiales,1870,2019,1,3,1,2,3
AgroLatina,Mango,Mercado Mundial,1867,2012,3,3,5,1,3
America,Platano,Europa Exportadores,911,2018,4,3,3,3,3
VirPeru,Palta,Europa Exportadores,1342,2020,1,4,3,1,2
VirPeru,Uva,J&T Exportadores,1346,2014,2,3,2,2,2
America,Mandarina,Exportadores Mundiales,1036,2020,1,3,5,1,2
VirPeru,ArÃ¡ndanos,J&T Exportadores,1727,2010,3,3,3,3,3
America,Mandarina,J&T Exportadores,1307,2017,1,4,4,1,3
Alfa,Palta,J&T Exportadores,1242,2014,3,4,5,2,3
FruPeru,ArÃ¡ndanos,Mercado Mundial,1489,2013,4,4,5,2,3
America,Mandarina,Exportadores Mundiales,1951,2020,2,3,1,1,2
Alfa,Platano,Europa Exportadores,1266,2011,5,4,3,1,3
America,Uva,J&T Exportadores,868,2015,4,3,2,3,3
America,Platano,Exportadores Mundiales,849,2018,2,4,1,2,3
AgroLatina,Mandarina,J&T Exportadores,1317,2018,2,4,3,3,3
America,Mandarina,Exportadores Mundiales,1231,2011,4,3,1,2,2
AgroPro,Naranja,Europa Exportadores,1320,2016,5,4,2,3,2
Alfa,Platano,America Exportadores,2274,2013,3,3,1,1,3
AgroLatina,ArÃ¡ndanos,Mercado Mundial,2259,2011,2,4,2,2,2
VirPeru,ArÃ¡ndanos,Europa Exportadores,2307,2013,2,3,2,2,3
AgroPro,Palta,Exportadores Mundiales,2201,2016,2,4,2,2,2
Alfa,Palta,Europa Exportadores,2360,2020,5,4,5,2,2
FruPeru,Mandarina,Exportadores Mundiales,1171,2012,3,4,5,3,3
VirPeru,Palta,J&T Exportadores,1699,2016,4,3,2,1,2
AgroLatina,Uva,Exportadores Mundiales,1156,2010,3,3,4,3,3
America,Mango,America Exportadores,2119,2018,1,3,3,3,3
AgroPro,Platano,J&T Exportadores,1706,2017,2,4,1,1,2
VirPeru,ArÃ¡ndanos,Europa Exportadores,1490,2011,1,3,5,3,2
VirPeru,Mandarina,Exportadores Mundiales,907,2019,1,4,1,1,2
AgroLatina,Palta,Mercado Mundial,2232,2016,2,4,2,2,3
AgroPro,Mandarina,Europa Exportadores,2119,2011,1,4,3,3,2
AgroLatina,Naranja,Europa Exportadores,2366,2016,2,4,3,3,3
AgroPro,Mandarina,Mercado Mundial,1747,2017,2,4,4,3,3
Alfa,Platano,Exportadores Mundiales,1735,2014,1,4,1,1,3
Alfa,Platano,America Exportadores,2301,2019,1,4,2,3,2
PeruExport,Naranja,Europa Exportadores,1956,2014,1,4,1,3,2
Alfa,Palta,America Exportadores,1823,2016,2,4,2,1,2
AgroLatina,Uva,J&T Exportadores,2264,2014,5,3,5,1,3
PeruExport,Naranja,Exportadores Mundiales,1182,2012,4,4,3,3,3
America,Platano,J&T Exportadores,2008,2020,3,3,1,1,2
VirPeru,Naranja,Exportadores Mundiales,2063,2015,5,3,2,1,2
AgroPro,Palta,America Exportadores,1527,2014,5,4,2,1,2
America,Mandarina,J&T Exportadores,899,2010,2,4,2,3,3
AgroPro,Mandarina,Exportadores Mundiales,1643,2013,2,4,3,2,2
FruPeru,Platano,J&T Exportadores,1488,2017,1,4,5,2,3
AgroLatina,ArÃ¡ndanos,America Exportadores,2236,2010,2,7,3,4,5
FruPeru,Uva,America Exportadores,1840,2019,4,3,1,3,3
FruPeru,Mandarina,Mercado Mundial,1128,2016,4,4,4,1,3
America,Naranja,Europa Exportadores,1189,2015,4,4,2,1,3
VirPeru,Naranja,Exportadores Mundiales,1534,2015,2,3,5,1,3
PeruExport,Palta,J&T Exportadores,1257,2019,1,3,1,3,2
FruPeru,Palta,Mercado Mundial,1074,2019,4,4,3,2,2
America,Palta,Exportadores Mundiales,1796,2012,4,4,4,1,3
PeruExport,Mandarina,Exportadores Mundiales,940,2014,2,4,4,3,3
AgroLatina,Platano,Mercado Mundial,1798,2019,3,4,4,2,3
AgroPro,ArÃ¡ndanos,Europa Exportadores,2361,2013,3,3,1,1,2
Alfa,Platano,America Exportadores,2357,2011,1,3,3,2,2
Alfa,ArÃ¡ndanos,J&T Exportadores,1545,2018,1,3,1,1,3
AgroLatina,Mango,Europa Exportadores,2264,2017,2,3,4,1,2
FruPeru,Uva,J&T Exportadores,1594,2017,2,4,4,3,3
Alfa,Mango,Europa Exportadores,2221,2018,2,4,1,1,2
America,Palta,Mercado Mundial,897,2013,5,4,3,3,3
AgroLatina,Uva,Mercado Mundial,1115,2015,1,3,1,1,3
AgroLatina,Mango,America Exportadores,1538,2014,1,3,5,1,3
FruPeru,Naranja,America Exportadores,1497,2019,4,3,2,2,2
VirPeru,Palta,Exportadores Mundiales,1857,2015,3,3,1,2,3
FruPeru,Palta,America Exportadores,2341,2016,3,4,5,1,3
America,Naranja,Exportadores Mundiales,1584,2012,4,3,1,3,2
PeruExport,Palta,Exportadores Mundiales,1871,2017,1,4,5,3,3
AgroPro,Uva,Mercado Mundial,858,2020,2,4,2,1,3
America,Mandarina,Europa Exportadores,2201,2018,1,4,1,1,3
AgroPro,Naranja,J&T Exportadores,1556,2010,4,3,4,3,2
America,Naranja,J&T Exportadores,824,2016,1,4,5,1,3
America,Uva,Europa Exportadores,1705,2010,5,3,5,2,2
AgroLatina,Palta,Mercado Mundial,899,2019,1,4,5,2,2
America,Naranja,Mercado Mundial,1656,2016,1,3,5,3,3
PeruExport,Uva,J&T Exportadores,1805,2011,1,4,2,3,3
AgroLatina,Mandarina,America Exportadores,2262,2020,5,3,2,3,3
America,Naranja,Exportadores Mundiales,944,2020,2,3,4,1,2
FruPeru,Mandarina,Exportadores Mundiales,1469,2015,1,4,2,3,3
AgroPro,Mandarina,America Exportadores,1105,2013,5,3,5,3,3
America,ArÃ¡ndanos,Exportadores Mundiales,1334,2010,5,4,2,3,3
Alfa,Mandarina,Mercado Mundial,1341,2010,5,3,1,3,2
AgroLatina,Uva,Mercado Mundial,1033,2012,2,3,5,3,2
AgroLatina,Palta,J&T Exportadores,1782,2015,4,4,3,3,3
America,ArÃ¡ndanos,Europa Exportadores,2393,2019,3,3,5,1,2
VirPeru,Uva,Europa Exportadores,1440,2013,4,3,2,1,3
FruPeru,Palta,Europa Exportadores,1422,2019,4,4,2,1,3
FruPeru,ArÃ¡ndanos,Mercado Mundial,1290,2020,2,3,3,2,3
America,Palta,America Exportadores,1726,2019,3,3,1,2,2
VirPeru,Naranja,Europa Exportadores,1780,2015,5,4,2,1,3
VirPeru,Palta,Exportadores Mundiales,1703,2017,3,3,5,1,2
FruPeru,Palta,Exportadores Mundiales,1431,2016,4,3,1,3,3
Alfa,Mandarina,J&T Exportadores,1936,2017,5,4,2,2,3
FruPeru,Platano,America Exportadores,945,2011,4,3,2,1,3
AgroLatina,Mandarina,Exportadores Mundiales,1957,2011,4,3,5,3,3
PeruExport,Palta,America Exportadores,2214,2011,3,4,4,2,2
Alfa,ArÃ¡ndanos,America Exportadores,1494,2012,5,3,4,3,2
Alfa,ArÃ¡ndanos,Europa Exportadores,1805,2016,5,4,2,3,2
AgroPro,Naranja,America Exportadores,1280,2013,5,4,5,1,3
Alfa,Mango,America Exportadores,1096,2016,1,4,5,1,3
PeruExport,Naranja,Europa Exportadores,1649,2018,2,3,1,3,3
VirPeru,Mango,America Exportadores,2303,2010,5,4,4,3,3
AgroPro,ArÃ¡ndanos,Europa Exportadores,2073,2014,5,3,1,2,2
Alfa,Platano,Europa Exportadores,1609,2013,2,4,3,2,2
AgroPro,Naranja,Exportadores Mundiales,2075,2016,1,4,5,2,3
AgroPro,Uva,Europa Exportadores,1897,2018,2,4,4,1,3
VirPeru,Mango,Mercado Mundial,1257,2020,5,3,1,1,2
AgroLatina,Mango,Europa Exportadores,1179,2017,2,3,5,3,2
Alfa,Naranja,Europa Exportadores,1383,2010,5,4,1,1,3
PeruExport,ArÃ¡ndanos,Europa Exportadores,2245,2019,3,4,3,2,2
AgroPro,Mandarina,J&T Exportadores,1478,2010,1,3,3,1,3
AgroLatina,Naranja,Europa Exportadores,1642,2010,2,3,3,1,3
VirPeru,Palta,J&T Exportadores,1178,2018,4,4,2,3,2
AgroPro,ArÃ¡ndanos,Mercado Mundial,2314,2018,5,4,3,1,3
AgroLatina,Naranja,America Exportadores,1011,2020,3,3,5,2,2
AgroPro,Platano,America Exportadores,2309,2013,1,4,4,3,3
VirPeru,Naranja,Mercado Mundial,1545,2011,3,3,4,2,2
AgroLatina,ArÃ¡ndanos,Mercado Mundial,2176,2018,1,3,1,3,3
America,Naranja,America Exportadores,1823,2013,4,3,3,1,2
PeruExport,ArÃ¡ndanos,Mercado Mundial,1991,2011,3,3,4,1,2
PeruExport,Mango,Exportadores Mundiales,1488,2016,5,4,1,3,2
VirPeru,Naranja,J&T Exportadores,1553,2012,1,4,5,3,2
PeruExport,Palta,America Exportadores,1286,2018,2,3,3,2,3
FruPeru,ArÃ¡ndanos,Europa Exportadores,986,2011,5,3,1,3,3
AgroLatina,Mango,Europa Exportadores,1610,2017,3,3,4,1,3
FruPeru,Palta,Mercado Mundial,1295,2019,5,4,5,2,2
FruPeru,Mango,J&T Exportadores,1897,2014,5,3,1,2,3
Alfa,Mango,Mercado Mundial,2282,2012,2,3,5,3,2
VirPeru,Mandarina,America Exportadores,877,2012,5,4,3,2,3
America,ArÃ¡ndanos,Mercado Mundial,1177,2014,3,3,4,2,3
VirPeru,Uva,Europa Exportadores,1598,2015,3,4,5,3,3
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,1492,2013,5,3,3,2,2
AgroLatina,ArÃ¡ndanos,Europa Exportadores,1177,2012,5,4,3,1,3
FruPeru,Platano,J&T Exportadores,1803,2012,1,4,3,2,3
VirPeru,Uva,Exportadores Mundiales,2254,2016,5,3,3,1,2
America,Platano,Exportadores Mundiales,2015,2010,5,3,1,3,2
America,Mango,America Exportadores,1115,2017,3,4,3,3,3
America,Platano,Mercado Mundial,1520,2014,3,4,5,2,3
VirPeru,Mango,Exportadores Mundiales,2044,2012,3,3,4,2,3
America,Mango,America Exportadores,1388,2017,1,3,2,2,3
PeruExport,ArÃ¡ndanos,Europa Exportadores,1882,2012,3,3,3,1,2
Alfa,Palta,J&T Exportadores,1715,2018,4,3,3,2,2
AgroLatina,Mandarina,America Exportadores,820,2019,4,3,3,2,3
FruPeru,Palta,J&T Exportadores,2164,2016,1,3,5,1,2
VirPeru,Mango,J&T Exportadores,1655,2015,4,3,4,1,3
VirPeru,Naranja,America Exportadores,1936,2018,4,3,2,1,3
America,Naranja,America Exportadores,1099,2013,3,4,4,3,3
VirPeru,Mandarina,Mercado Mundial,1608,2010,4,3,1,3,2
VirPeru,Mango,Europa Exportadores,1612,2015,2,3,4,2,3
