imdb_title_id,title,year,date_published,genre,duration,country
tt0000009,Miss Jerry,1894,9/10/1894,Romance,45,USA
tt0000574,The Story of the Kelly Gang,1906,26/12/1906,"Biography, Crime, Drama",70,Australia
tt0001892,Den sorte drA¸m,1911,19/08/1911,Drama,53,"Germany, Denmark"
tt0002101,Cleopatra,1912,13/11/1912,"Drama, History",100,USA
tt0002130,L'Inferno,1911,6/03/1911,"Adventure, Drama, Fantasy",68,Italy
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,27/03/1905,"Biography, Drama",60,USA
tt0002423,Madame DuBarry,1919,26/11/1919,"Biography, Drama, Romance",85,Germany
tt0002445,Quo Vadis?,1913,1/03/1913,"Drama, History",120,Italy
tt0002452,Independenta Romaniei,1912,1/09/1912,"History, War",120,Romania
tt0002461,Richard III,1912,15/10/1912,Drama,55,"France, USA"
tt0002646,Atlantis,1913,26/12/1913,Drama,121,Denmark
tt0002844,Fanta mas -  l'ombre de la guillotine,1913,12/05/1913,"Crime, Drama",54,France
tt0003014,Il calvario di una madre,1913,18/10/1915,Drama,96,Sweden
tt0003037,Juve contre Fantamas,1913,8/09/1913,"Crime, Drama",61,France
tt0003102,Ma l'amor mio non muore...,1914,1/01/1914,Drama,90,Italy
tt0003131,Maudite soit la guerre,1914,1/05/1914,"Drama, War",50,Belgium
tt0003165,Le mort qui tue,1913,6/11/1913,"Crime, Drama, Mystery",90,France
tt0003167,Amore di madre,1914,17/05/1914,Drama,55,USA
tt0003419,Lo studente di Praga,1913,22/08/1913,"Drama, Fantasy, Horror",85,Germany
tt0003471,Traffic in Souls,1913,24/11/1913,"Crime, Drama",88,USA
