ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate
711,"Sport-100 Helmet, Blue",HL-U509-B,Blue,13.0863,34.9900,,,35,33,2005-07-01 00:00:00,,
864,"Classic Vest, S",VE-C304-S,Blue,23.7490,63.5000,S,,29,1,2007-07-01 00:00:00,,
865,"Classic Vest, M",VE-C304-M,Blue,23.7490,63.5000,M,,29,1,2007-07-01 00:00:00,,
866,"Classic Vest, L",VE-C304-L,Blue,23.7490,63.5000,L,,29,1,2007-07-01 00:00:00,,
890,"HL Touring Frame - Blue, 46",FR-T98U-46,Blue,601.7437,1003.9100,46,1342.63,20,7,2007-07-01 00:00:00,,
891,"HL Touring Frame - Blue, 50",FR-T98U-50,Blue,601.7437,1003.9100,50,1360.77,20,7,2007-07-01 00:00:00,,
892,"HL Touring Frame - Blue, 54",FR-T98U-54,Blue,601.7437,1003.9100,54,1378.91,20,7,2007-07-01 00:00:00,,
893,"HL Touring Frame - Blue, 60",FR-T98U-60,Blue,601.7437,1003.9100,60,1397.06,20,7,2007-07-01 00:00:00,,
895,"LL Touring Frame - Blue, 50",FR-T67U-50,Blue,199.8519,333.4200,50,1406.13,20,10,2007-07-01 00:00:00,,
896,"LL Touring Frame - Blue, 54",FR-T67U-54,Blue,199.8519,333.4200,54,1424.27,20,10,2007-07-01 00:00:00,,
897,"LL Touring Frame - Blue, 58",FR-T67U-58,Blue,199.8519,333.4200,58,1433.34,20,10,2007-07-01 00:00:00,,
898,"LL Touring Frame - Blue, 62",FR-T67U-62,Blue,199.8519,333.4200,62,1451.49,20,10,2007-07-01 00:00:00,,
903,"LL Touring Frame - Blue, 44",FR-T67U-44,Blue,199.8519,333.4200,44,1369.84,20,10,2007-07-01 00:00:00,,
953,"Touring-2000 Blue, 60",BK-T44U-60,Blue,755.1508,1214.8500,60,12655.16,7,35,2007-07-01 00:00:00,,
958,"Touring-3000 Blue, 54",BK-T18U-54,Blue,461.4448,742.3500,54,13462.55,7,36,2007-07-01 00:00:00,,
959,"Touring-3000 Blue, 58",BK-T18U-58,Blue,461.4448,742.3500,58,13562.34,7,36,2007-07-01 00:00:00,,
960,"Touring-3000 Blue, 62",BK-T18U-62,Blue,461.4448,742.3500,62,13607.70,7,36,2007-07-01 00:00:00,,
966,"Touring-1000 Blue, 46",BK-T79U-46,Blue,1481.9379,2384.0700,46,11398.72,7,34,2007-07-01 00:00:00,,
967,"Touring-1000 Blue, 50",BK-T79U-50,Blue,1481.9379,2384.0700,50,11530.26,7,34,2007-07-01 00:00:00,,
968,"Touring-1000 Blue, 54",BK-T79U-54,Blue,1481.9379,2384.0700,54,11648.19,7,34,2007-07-01 00:00:00,,
969,"Touring-1000 Blue, 60",BK-T79U-60,Blue,1481.9379,2384.0700,60,11747.98,7,34,2007-07-01 00:00:00,,
970,"Touring-2000 Blue, 46",BK-T44U-46,Blue,755.1508,1214.8500,46,12305.90,7,35,2007-07-01 00:00:00,,
971,"Touring-2000 Blue, 50",BK-T44U-50,Blue,755.1508,1214.8500,50,12437.44,7,35,2007-07-01 00:00:00,,
972,"Touring-2000 Blue, 54",BK-T44U-54,Blue,755.1508,1214.8500,54,12555.37,7,35,2007-07-01 00:00:00,,
978,"Touring-3000 Blue, 44",BK-T18U-44,Blue,461.4448,742.3500,44,13049.78,7,36,2007-07-01 00:00:00,,
979,"Touring-3000 Blue, 50",BK-T18U-50,Blue,461.4448,742.3500,50,13213.08,7,36,2007-07-01 00:00:00,,
